Assay1 Amplitude,Assay2 Amplitude,Cluster
870.6238,,1
879.4224,,1
883.4355,,1
888.0505,,1
890.6015,,1
893.3773,,1
893.6333,,1
893.752441,,1
893.305,,1
896.8191,,1
898.962769,,1
901.284058,,1
902.878,,1
903.0898,,1
903.4912,,1
905.628052,,1
906.0331,,1
907.4048,,1
910.6115,,1
910.669739,,1
910.739,,1
911.884949,,1
912.263,,1
914.127,,1
914.850952,,1
916.5016,,1
916.7337,,1
917.3787,,1
917.560547,,1
917.245056,,1
918.742859,,1
919.5176,,1
920.720642,,1
921.0219,,1
921.745,,1
922.197632,,1
922.514,,1
923.0866,,1
923.4918,,1
925.8447,,1
925.889465,,1
925.7949,,1
925.3803,,1
926.54126,,1
926.436462,,1
927.02356,,1
927.527,,1
928.6649,,1
928.688232,,1
928.425049,,1
928.5086,,1
928.31134,,1
929.419067,,1
929.2886,,1
929.0316,,1
929.8029,,1
930.131165,,1
930.6498,,1
930.071045,,1
931.7453,,1
931.3061,,1
931.2718,,1
931.938354,,1
932.3083,,1
932.395447,,1
932.244,,1
932.2808,,1
933.9041,,1
933.578369,,1
933.2935,,1
934.805,,1
934.1889,,1
934.502258,,1
934.056335,,1
935.229248,,1
935.407959,,1
935.709656,,1
935.10675,,1
935.0754,,1
935.6722,,1
935.6668,,1
935.662048,,1
935.769653,,1
936.5168,,1
936.8109,,1
936.2786,,1
936.357239,,1
936.2788,,1
937.9025,,1
937.6163,,1
937.3999,,1
937.983643,,1
937.9525,,1
938.1737,,1
938.302856,,1
938.1438,,1
938.6423,,1
939.4885,,1
939.2716,,1
939.9998,,1
939.144653,,1
939.1898,,1
939.166138,,1
939.2162,,1
939.966736,,1
939.4483,,1
940.384,,1
940.306335,,1
940.788757,,1
940.571655,,1
940.7748,,1
940.183838,,1
941.3469,,1
942.6076,,1
942.1279,,1
942.982056,,1
942.7346,,1
942.7021,,1
943.1054,,1
943.271057,,1
943.365662,,1
943.9336,,1
943.2107,,1
943.901245,,1
944.4508,,1
944.704651,,1
944.246338,,1
944.418152,,1
944.097168,,1
944.072,,1
944.6397,,1
945.375,,1
945.2553,,1
945.2013,,1
945.7409,,1
945.438,,1
945.964233,,1
945.7373,,1
946.464,,1
946.593933,,1
946.3868,,1
946.0252,,1
946.8285,,1
946.7257,,1
946.622253,,1
946.0761,,1
946.749634,,1
946.6531,,1
947.535645,,1
947.0416,,1
947.9083,,1
947.385742,,1
948.221069,,1
948.3032,,1
948.1679,,1
948.930969,,1
948.5103,,1
948.584656,,1
948.1972,,1
948.72644,,1
948.6392,,1
948.3967,,1
948.574341,,1
949.419556,,1
949.070251,,1
949.4942,,1
949.545654,,1
949.470764,,1
949.566345,,1
949.0125,,1
950.1041,,1
950.7,,1
950.475342,,1
950.187866,,1
950.4028,,1
950.2753,,1
950.6178,,1
950.7698,,1
951.618469,,1
951.0345,,1
951.443237,,1
951.3196,,1
951.1525,,1
951.4585,,1
951.367249,,1
951.238953,,1
951.9835,,1
951.4238,,1
951.2688,,1
951.917,,1
952.930847,,1
952.871765,,1
952.425842,,1
952.2511,,1
952.8189,,1
952.8973,,1
952.697,,1
952.55896,,1
953.3785,,1
953.635437,,1
953.0008,,1
953.9701,,1
953.2241,,1
953.957764,,1
953.1547,,1
953.645142,,1
953.2807,,1
953.879333,,1
953.0033,,1
953.7127,,1
953.1506,,1
953.9353,,1
954.5513,,1
954.425537,,1
954.6366,,1
954.8189,,1
954.4911,,1
954.510132,,1
954.256958,,1
954.71106,,1
955.1707,,1
955.9249,,1
955.5934,,1
955.788147,,1
955.5312,,1
955.351563,,1
955.2888,,1
955.9732,,1
955.502441,,1
955.9837,,1
955.8069,,1
955.9604,,1
955.6698,,1
955.453857,,1
955.363342,,1
955.847961,,1
955.9815,,1
956.6422,,1
956.7482,,1
956.482666,,1
956.679,,1
956.2057,,1
956.298645,,1
956.5443,,1
956.874146,,1
956.7371,,1
956.722046,,1
956.484131,,1
956.917969,,1
956.539368,,1
957.3512,,1
957.649231,,1
957.115845,,1
957.4549,,1
957.3208,,1
957.4582,,1
957.7431,,1
957.744568,,1
957.7768,,1
957.8712,,1
958.8923,,1
958.28894,,1
958.45105,,1
958.825134,,1
958.0737,,1
958.817932,,1
958.2558,,1
958.7865,,1
958.1313,,1
958.9415,,1
958.2304,,1
958.635132,,1
959.9327,,1
959.6701,,1
959.4554,,1
959.56366,,1
959.4571,,1
959.5957,,1
959.0421,,1
960.4766,,1
960.9051,,1
960.670654,,1
960.8887,,1
960.7369,,1
960.109863,,1
960.734,,1
960.078735,,1
960.863037,,1
960.716064,,1
960.2635,,1
960.771,,1
960.0729,,1
960.7238,,1
960.01416,,1
960.2509,,1
960.4237,,1
960.4819,,1
960.574463,,1
961.249268,,1
961.2738,,1
961.172852,,1
961.0946,,1
961.5022,,1
961.555,,1
961.459,,1
961.512939,,1
