x-coordinate_in_pixel, y-coordinate_in_pixel, Chan1_FluoValue, Chan2_FluoValue, Chan3_FluoValue, index
767, 432, 17064, 7291, 3582, 0
1756, 386, 16937, 6963, 3364, 1
1005, 1226, 15372, 6197, 2997, 2
2160, 287, 16476, 6854, 3339, 3
1271, 1237, 15644, 6495, 3113, 4
1000, 329, 18216, 7507, 3627, 5
1831, 356, 17176, 7016, 3411, 6
2187, 398, 16298, 6947, 3294, 7
1978, 1267, 15471, 6796, 3267, 8
1592, 375, 17261, 7184, 3285, 9
1042, 339, 17518, 7529, 3564, 10
1968, 382, 16946, 7226, 3305, 11
1123, 528, 17020, 7136, 3347, 12
2049, 439, 17124, 7104, 3464, 13
641, 440, 15670, 7445, 3655, 14
2215, 338, 16339, 6980, 3414, 15
799, 730, 18417, 7497, 3590, 16
1189, 408, 17571, 7390, 3599, 17
2023, 375, 17065, 7082, 3376, 18
2186, 504, 16241, 6934, 3343, 19
1282, 339, 17788, 7246, 3469, 20
694, 409, 16097, 7007, 3347, 21
695, 555, 17343, 6916, 3554, 22
944, 341, 18537, 8249, 3871, 23
1578, 387, 17071, 7099, 3540, 24
1084, 528, 18405, 7700, 3740, 25
839, 376, 18074, 7464, 3578, 26
648, 506, 15437, 7216, 3537, 27
1244, 340, 18092, 7580, 3489, 28
1130, 409, 18290, 7400, 3495, 29
634, 731, 16852, 7002, 3402, 30
1799, 408, 17775, 7154, 3473, 31
1817, 339, 17206, 7254, 3428, 32
1693, 388, 16986, 7204, 3429, 33
1734, 1219, 15206, 6678, 3182, 34
1091, 376, 18607, 7973, 3763, 35
913, 1253, 15047, 6158, 2999, 36
822, 388, 15958, 6992, 3293, 37
337, 752, 17058, 7380, 3419, 38
1472, 373, 17107, 7307, 3413, 39
1186, 341, 17678, 7405, 3493, 40
956, 388, 17581, 7219, 3388, 41
454, 526, 15657, 7325, 3449, 42
588, 436, 16061, 7029, 3374, 43
2068, 339, 16875, 6978, 3372, 44
1320, 405, 17375, 7429, 3554, 45
1846, 372, 16809, 6884, 3326, 46
1216, 389, 18479, 7567, 3742, 47
2250, 526, 16671, 6885, 3474, 48
519, 553, 15481, 6781, 3211, 49
1268, 510, 16807, 7007, 3324, 50
861, 404, 17586, 7290, 3690, 51
1330, 345, 17038, 7128, 3430, 52
1292, 388, 17090, 7424, 3516, 53
412, 754, 17253, 7378, 3486, 54
2120, 437, 17070, 7013, 3352, 55
1692, 1163, 15376, 6557, 3204, 56
1738, 380, 17136, 7140, 3476, 57
2215, 509, 15989, 6815, 3346, 58
1340, 340, 17068, 7078, 3493, 59
2010, 405, 16752, 6955, 3266, 60
1206, 373, 17570, 7496, 3497, 61
2037, 470, 17326, 7006, 3357, 62
2051, 380, 16842, 6982, 3289, 63
1358, 406, 17029, 7403, 3546, 64
665, 782, 17249, 7188, 3463, 65
1894, 384, 17454, 6921, 3412, 66
1158, 369, 17559, 7630, 3468, 67
2109, 769, 17081, 6983, 3456, 68
2152, 384, 16856, 6969, 3211, 69
1797, 361, 17041, 6901, 3494, 70
546, 543, 17726, 7555, 3633, 71
525, 523, 15332, 6217, 3115, 72
1674, 486, 28160, 7414, 3636, 73
606, 435, 15550, 6665, 3312, 74
1996, 340, 17306, 6873, 3376, 75
614, 733, 17218, 7411, 3458, 76
1101, 427, 18088, 7767, 3576, 77
2122, 485, 16753, 6970, 3344, 78
1541, 403, 17009, 6845, 3512, 79
926, 363, 28221, 7694, 3685, 80
1414, 506, 17603, 7380, 3574, 81
1922, 342, 17616, 7152, 3422, 82
1199, 425, 20624, 8039, 3737, 83
900, 403, 17714, 7383, 3618, 84
1868, 369, 17036, 6992, 3442, 85
2075, 425, 17369, 7101, 3359, 86
1985, 342, 17069, 7051, 3371, 87
879, 382, 17476, 7477, 3640, 88
444, 523, 16028, 7242, 3391, 89
854, 486, 18020, 7517, 3606, 90
1085, 550, 17427, 7474, 3489, 91
1685, 484, 17890, 7307, 3650, 92
502, 542, 15344, 6436, 3227, 93
661, 370, 15507, 6809, 3199, 94
1071, 342, 17724, 7435, 3594, 95
1923, 710, 17636, 7493, 3514, 96
1405, 434, 17001, 7271, 3567, 97
1929, 426, 17130, 7089, 3385, 98
1677, 506, 18005, 7681, 3738, 99
1690, 342, 16754, 6983, 3442, 100
1099, 711, 16092, 6890, 3243, 101
686, 403, 17963, 7719, 3631, 102
848, 370, 18300, 7879, 3752, 103
963, 425, 18219, 7381, 3609, 104
1795, 343, 17238, 7214, 3375, 105
2029, 732, 16884, 7287, 3349, 106
2135, 425, 17041, 7051, 3378, 107
2185, 274, 16471, 6898, 3274, 108
1718, 403, 27118, 7445, 3512, 109
2175, 276, 16378, 6919, 3278, 110
2205, 343, 16393, 7003, 3296, 111
1916, 381, 17526, 7226, 3534, 112
714, 544, 27394, 7457, 3615, 113
1784, 527, 18722, 7739, 3639, 114
1789, 382, 17324, 7031, 3387, 115
1643, 709, 17353, 7053, 3435, 116
2223, 276, 16188, 6930, 3365, 117
2084, 753, 17391, 7187, 3497, 118
1771, 375, 17120, 7158, 3395, 119
2242, 276, 16142, 6915, 3386, 120
1269, 487, 17536, 7666, 3550, 121
2156, 374, 16826, 6780, 3349, 122
1751, 426, 17387, 7208, 3402, 123
2202, 278, 16424, 6857, 3305, 124
1110, 343, 18183, 7513, 3570, 125
1132, 488, 16992, 7242, 3473, 126
1570, 407, 17068, 6972, 3449, 127
1326, 555, 17563, 7419, 3546, 128
2213, 281, 16516, 7144, 3354, 129
2050, 487, 17249, 7007, 3422, 130
675, 545, 18206, 7698, 3836, 131
733, 375, 15854, 7171, 3313, 132
2140, 338, 17290, 6889, 3464, 133
1081, 381, 28484, 7969, 3613, 134
2192, 283, 16907, 6946, 3338, 135
1731, 754, 17557, 7285, 3549, 136
1142, 505, 16645, 6817, 3442, 137
1129, 343, 18055, 7570, 3679, 138
1062, 427, 18021, 7508, 3676, 139
2232, 281, 16239, 6816, 3374, 140
2232, 406, 16569, 7013, 3458, 141
962, 339, 17663, 7891, 3665, 142
985, 382, 18578, 7426, 3459, 143
1554, 527, 28149, 7554, 3581, 144
1210, 487, 17608, 7405, 3548, 145
2182, 285, 16729, 7074, 3355, 146
1377, 439, 17030, 7270, 3448, 147
1318, 505, 18132, 7630, 3645, 148
887, 343, 17885, 7450, 3641, 149
2171, 286, 16554, 7007, 3360, 150
432, 712, 17574, 7575, 3681, 151
1689, 782, 16698, 6973, 3307, 152
908, 375, 17926, 7452, 3778, 153
795, 427, 18070, 7737, 3770, 154
2223, 286, 16190, 6706, 3377, 155
1562, 1199, 15557, 6646, 3226, 156
844, 340, 17002, 7121, 3420, 157
1803, 427, 17825, 7392, 3535, 158
2242, 287, 16112, 6787, 3419, 159
1748, 406, 16848, 6683, 3351, 160
1444, 379, 17009, 7238, 3420, 161
1990, 379, 17107, 7027, 3423, 162
1014, 344, 18154, 7652, 3718, 163
1934, 387, 17070, 7153, 3373, 164
713, 533, 17885, 7828, 3679, 165
1587, 443, 17183, 7190, 3579, 166
1845, 508, 18107, 7686, 3727, 167
1292, 344, 17266, 7156, 3449, 168
864, 492, 18185, 7345, 3600, 169
2201, 289, 16341, 6753, 3273, 170
802, 413, 16137, 7029, 3414, 171
478, 774, 15305, 6105, 2931, 172
