Ch1 Amplitude,Ch2 Amplitude,Cluster
21.9968624,742.2723,1
22.811079,734.23,1
23.7372055,645.0245,1
24.5385551,717.248535,1
25.6678028,740.5367,1
25.7375584,707.8281,1
26.3959866,676.984131,1
26.9027882,736.039856,1
27.0970154,749.8017,1
27.2226372,728.733765,1
27.2684326,768.4661,1
27.8334351,700.096252,1
27.9932823,746.9578,1
28.1345158,720.844055,1
28.62756,722.2377,1
28.6947136,720.28894,1
28.855526,689.355164,1
29.0018711,693.421265,1
29.1876431,701.1857,1
29.2347527,759.7324,1
29.36268,697.790344,1
29.7227116,762.1916,1
29.7239819,734.104,1
29.8044376,669.911,1
30.01921,714.099365,1
30.0441341,692.512146,1
30.156271,708.743,1
30.1610432,777.975037,1
30.1929035,719.7176,1
30.2039623,745.368469,1
30.2097225,726.9661,1
30.4273129,690.155151,1
30.808382,717.956055,1
30.855051,682.161865,1
30.8668957,645.8438,1
31.00667,663.4161,1
31.1138077,713.5395,1
31.2156734,652.7632,1
31.2186184,711.510559,1
31.3008556,724.5355,1
31.4427242,755.823669,1
31.6412983,728.735962,1
31.6874847,706.947754,1
32.0028076,708.819031,1
32.0071831,670.170349,1
32.19534,714.0974,1
32.2846375,689.9042,1
32.5068359,672.787659,1
32.578846,637.888855,1
32.6794434,744.445251,1
32.8142662,730.0976,1
32.8454781,704.141052,1
33.0031624,730.262268,1
33.2082138,695.732666,1
33.3776779,723.197937,1
33.489563,739.517639,1
33.6309547,728.454041,1
33.6682358,659.2804,1
33.7496376,738.256958,1
33.7909966,688.0738,1
33.8739357,727.158447,1
33.88277,735.891968,1
33.92352,686.2869,1
34.06362,705.05835,1
34.0653038,712.4141,1
34.17355,711.1354,1
34.1781769,714.079834,1
34.18411,692.0466,1
34.19436,693.9227,1
34.2648163,743.7241,1
34.30147,698.0653,1
34.3476219,731.5826,1
34.4404373,770.1611,1
34.50245,690.2104,1
34.73401,730.284546,1
34.7575455,679.5689,1
34.8369446,721.517,1
34.84315,717.99884,1
34.85982,750.7648,1
34.9139557,724.033569,1
34.9836,712.4564,1
35.1804276,700.6812,1
